Date,Expense Category,Amount
2020-04-14,Rent,436.12
2019-11-21,Vehicle Lease,531.62
2022-07-26,Meals & Entertainment,391.85
2022-02-23,Fuel,1989.70
2019-10-22,Meals & Entertainment,877.23
2021-09-01,Meals & Entertainment,1423.75
2021-06-15,Meals & Entertainment,598.70
2022-01-17,Office Supplies,1209.68
2020-09-20,Vehicle Lease,1102.78
2021-01-22,Salaries & Benefits,1534.13
2022-02-06,Rent,1409.79
2021-03-04,Rent,1051.56
2019-07-30,Salaries & Benefits,1484.83
2019-07-30,Meals & Entertainment,857.55
2021-07-03,Salaries & Benefits,1493.73
2022-02-07,Meals & Entertainment,612.90
2020-11-13,Fuel,1678.64
2019-08-22,Salaries & Benefits,1737.16
2020-03-16,Fuel,1084.86
2021-09-05,Office Supplies,1594.08
2021-03-25,Rent,1852.30
2019-09-07,Office Supplies,603.32
2022-05-28,Rent,154.68
2022-10-15,Vehicle Lease,1767.21
2020-05-25,Salaries & Benefits,1283.80
2021-03-05,Office Supplies,1783.94
2021-11-23,Vehicle Lease,1868.90
2022-11-23,Meals & Entertainment,934.59
2020-07-14,Fuel,361.46
2022-02-25,Fuel,801.27
2021-07-26,Vehicle Lease,1429.03
2020-11-21,Vehicle Lease,1685.82
2020-07-09,Utilities,1567.75
2022-05-12,Office Supplies,575.41
2019-10-15,Salaries & Benefits,1747.02
2019-07-11,Utilities,1980.56
2019-11-05,Office Supplies,1563.99
2020-08-01,Salaries & Benefits,1492.03
2021-06-08,Meals & Entertainment,1838.41
2019-09-17,Utilities,112.16
2022-04-12,Fuel,1788.14
2019-02-09,Rent,1251.77
2019-12-18,Meals & Entertainment,1500.04
2021-04-17,Rent,110.41
2022-02-03,Vehicle Lease,408.91
2019-07-07,Utilities,900.27
2022-04-27,Fuel,205.73
2021-03-26,Fuel,201.19
2022-06-05,Utilities,1006.44
2019-03-28,Fuel,1074.36
2019-09-20,Vehicle Lease,1938.20
2019-07-16,Meals & Entertainment,995.54
2020-11-26,Utilities,199.92
2020-12-28,Vehicle Lease,1632.15
2021-06-02,Fuel,1092.37
2020-08-15,Meals & Entertainment,1440.52
2019-06-17,Salaries & Benefits,1410.55
2020-01-10,Vehicle Lease,1201.70
2022-12-05,Fuel,765.56
2022-08-18,Vehicle Lease,1677.45
2022-07-12,Utilities,1933.74
2022-01-04,Office Supplies,1080.08
2019-09-19,Meals & Entertainment,1924.22
2020-02-09,Meals & Entertainment,1169.92
2021-09-24,Utilities,1342.74
2021-02-03,Meals & Entertainment,657.65
2019-04-17,Rent,1403.31
2020-03-03,Office Supplies,1679.08
2021-10-18,Utilities,636.20
2020-12-08,Meals & Entertainment,1131.51
2022-02-20,Office Supplies,529.51
2021-11-15,Vehicle Lease,1381.75
2022-11-17,Utilities,1594.96
2021-10-23,Meals & Entertainment,701.25
2019-06-13,Salaries & Benefits,1495.27
2021-03-07,Salaries & Benefits,186.66
2020-05-10,Utilities,977.08
2019-09-23,Rent,1532.73
2020-05-02,Fuel,1816.52
2019-03-13,Meals & Entertainment,443.62
2022-07-09,Vehicle Lease,710.90
2021-08-09,Rent,674.38
2019-05-30,Rent,317.21
2022-11-25,Fuel,867.69
2019-01-30,Salaries & Benefits,678.61
2020-01-02,Vehicle Lease,469.52
2021-05-04,Salaries & Benefits,1900.59
2019-03-19,Utilities,1676.78
2019-10-29,Meals & Entertainment,1004.12
2020-02-03,Fuel,1815.65
2020-01-28,Utilities,1170.18
2021-11-11,Salaries & Benefits,1385.58
2022-06-29,Utilities,1169.17
2020-08-04,Meals & Entertainment,1717.96
2021-08-30,Office Supplies,1223.33
2022-12-26,Salaries & Benefits,1641.93
2021-05-15,Fuel,1475.94
2022-03-04,Meals & Entertainment,1872.63
2019-06-19,Rent,986.51
2021-10-20,Meals & Entertainment,118.65
2020-04-03,Rent,1908.20
2019-04-09,Rent,201.39
2020-01-22,Salaries & Benefits,1318.72
2019-11-03,Vehicle Lease,1869.52
2019-05-01,Utilities,521.82
2021-02-13,Vehicle Lease,262.50
2022-09-13,Salaries & Benefits,665.28
2022-09-08,Rent,240.13
2019-10-14,Vehicle Lease,1826.52
2020-05-23,Rent,1622.36
2019-11-27,Office Supplies,1868.62
2022-06-26,Rent,604.88
2019-07-04,Meals & Entertainment,904.60
2019-10-03,Vehicle Lease,1132.39
2019-02-12,Meals & Entertainment,1406.79
2021-11-21,Salaries & Benefits,546.17
2019-08-26,Vehicle Lease,231.62
2019-08-03,Rent,289.58
2022-08-21,Utilities,639.40
2019-01-16,Meals & Entertainment,368.81
2022-04-27,Office Supplies,1677.90
2021-05-17,Meals & Entertainment,1646.22
2021-02-09,Vehicle Lease,118.96
2021-10-24,Meals & Entertainment,1292.82
2019-01-23,Salaries & Benefits,379.46
2022-10-06,Office Supplies,587.81
2021-03-07,Utilities,189.79
2019-03-12,Utilities,965.85
2020-04-22,Fuel,1384.34
2021-01-02,Vehicle Lease,1242.91
2022-02-10,Rent,1389.17
2019-09-10,Office Supplies,1006.90
2021-04-25,Office Supplies,1032.45
2022-07-29,Vehicle Lease,1480.14
2021-11-11,Office Supplies,596.36
2020-03-29,Office Supplies,1118.20
2022-08-20,Vehicle Lease,1784.93
2022-09-11,Salaries & Benefits,1404.63
2019-02-26,Salaries & Benefits,286.95
2022-09-17,Office Supplies,225.10
2022-03-07,Vehicle Lease,183.30
2022-08-13,Office Supplies,1738.74
2022-02-07,Fuel,1437.27
2019-08-29,Vehicle Lease,415.70
2021-04-09,Vehicle Lease,743.33
2022-05-30,Fuel,168.11
2022-11-20,Fuel,1348.74
2021-12-19,Salaries & Benefits,875.32
2020-06-25,Meals & Entertainment,1643.63
2022-01-19,Meals & Entertainment,1913.37
2020-12-18,Meals & Entertainment,1768.46
2021-10-21,Vehicle Lease,1819.56
2021-06-25,Meals & Entertainment,981.45
2022-03-24,Meals & Entertainment,194.95
2019-05-22,Meals & Entertainment,1782.81
2019-05-14,Utilities,1929.44
2019-08-18,Rent,642.17
2019-07-23,Utilities,1477.30
2022-05-06,Vehicle Lease,127.29
2020-12-29,Salaries & Benefits,129.65
2022-05-30,Utilities,1024.60
2019-03-11,Rent,1486.45
2019-05-07,Utilities,1999.46
2022-03-04,Rent,724.85
2020-11-13,Utilities,677.36
2022-09-19,Fuel,1345.16
2022-03-02,Office Supplies,1357.65
2020-10-15,Utilities,1554.06
2021-06-09,Fuel,1697.28
2020-09-15,Vehicle Lease,137.56
2019-02-08,Office Supplies,1369.17
2021-06-19,Fuel,1396.44
2019-08-09,Utilities,958.81
2021-04-03,Fuel,276.19
2020-03-01,Meals & Entertainment,1563.52
2020-08-21,Meals & Entertainment,1010.70
2020-06-08,Utilities,1492.69
2022-12-07,Office Supplies,1971.06
2019-05-18,Vehicle Lease,529.18
2021-06-29,Rent,647.05
2019-04-30,Vehicle Lease,1000.26
2019-04-18,Office Supplies,1470.91
2022-10-31,Office Supplies,180.04
2021-07-27,Utilities,705.18
2021-10-02,Office Supplies,1433.65
2021-06-26,Vehicle Lease,1710.56
2020-09-14,Fuel,1165.66
2022-01-18,Meals & Entertainment,874.34
2022-12-15,Utilities,1450.60
2020-09-28,Utilities,1516.23
2021-06-28,Office Supplies,1088.07
2019-11-25,Salaries & Benefits,173.43
2020-04-08,Fuel,364.55
2019-06-22,Office Supplies,1788.82
2019-02-28,Meals & Entertainment,428.96
2022-05-02,Salaries & Benefits,1483.56
2020-05-19,Vehicle Lease,599.91
2019-08-08,Vehicle Lease,1509.66
2020-09-05,Meals & Entertainment,908.11
2019-08-23,Salaries & Benefits,427.98
2020-02-11,Salaries & Benefits,426.32
2022-11-13,Office Supplies,199.38
2020-10-16,Salaries & Benefits,1667.37
2020-12-28,Rent,1872.24
2021-04-23,Vehicle Lease,830.12
2020-06-23,Office Supplies,1403.98
2021-05-07,Utilities,1478.56
2022-03-26,Rent,1608.95
2020-01-18,Rent,1779.80
2020-06-12,Utilities,922.65
2020-03-21,Utilities,1846.16
2020-10-12,Utilities,524.48
2022-01-17,Salaries & Benefits,1362.64
2021-08-19,Fuel,1047.08
2021-01-22,Meals & Entertainment,690.70
2020-02-14,Salaries & Benefits,1298.04
2022-12-25,Salaries & Benefits,933.65
2019-11-30,Vehicle Lease,518.73
2020-11-22,Vehicle Lease,1627.35
2022-09-10,Meals & Entertainment,1247.69
2022-03-22,Rent,196.34
2022-11-08,Meals & Entertainment,1058.47
2022-01-22,Fuel,1883.84
2022-06-10,Fuel,649.88
2020-08-17,Salaries & Benefits,407.99
2022-10-19,Meals & Entertainment,705.18
2019-10-17,Office Supplies,1001.77
2021-06-24,Vehicle Lease,355.22
2021-10-07,Office Supplies,1757.11
2022-01-22,Meals & Entertainment,1371.88
2020-12-17,Rent,737.12
2022-07-24,Office Supplies,1608.76
2022-06-11,Vehicle Lease,1451.22
2019-08-07,Meals & Entertainment,1992.25
2021-12-19,Office Supplies,576.06
2020-11-24,Utilities,1104.34
2021-02-17,Utilities,1347.56
2020-02-15,Utilities,970.59
2020-04-21,Vehicle Lease,1370.93
2022-10-17,Fuel,1755.91
2021-09-14,Meals & Entertainment,1766.61
2020-01-06,Meals & Entertainment,358.99
2020-12-03,Rent,650.42
2019-04-26,Salaries & Benefits,1916.96
2021-09-26,Salaries & Benefits,1342.27
2022-04-13,Rent,1354.39
2022-12-10,Meals & Entertainment,477.00
2021-02-01,Rent,1579.29
2021-01-27,Fuel,1178.02
2019-09-17,Salaries & Benefits,665.98
2021-01-10,Salaries & Benefits,1411.14
2021-05-30,Fuel,1684.58
2020-11-18,Office Supplies,618.89
2022-09-21,Meals & Entertainment,1730.94
2021-11-23,Vehicle Lease,1885.63
2022-09-06,Utilities,1121.93
2022-07-29,Meals & Entertainment,510.87
2021-06-17,Vehicle Lease,1705.80
2022-03-16,Utilities,1311.54
2019-06-13,Utilities,679.16
2019-07-14,Utilities,1539.83
2021-04-23,Meals & Entertainment,1564.00
2022-03-24,Rent,245.72
2022-01-21,Rent,1114.04
2021-12-21,Salaries & Benefits,748.28
2019-02-07,Vehicle Lease,680.06
2022-12-30,Salaries & Benefits,954.34
2022-11-05,Utilities,1803.36
2020-11-19,Office Supplies,1744.05
2020-06-13,Salaries & Benefits,963.41
2019-10-05,Fuel,1145.93
2022-11-09,Utilities,235.71
2019-01-04,Utilities,1645.35
2022-03-11,Office Supplies,432.72
2019-08-16,Office Supplies,744.90
2020-08-09,Fuel,427.34
2021-12-11,Meals & Entertainment,425.48
2022-04-22,Vehicle Lease,1670.93
2020-10-14,Utilities,1549.05
2021-05-22,Vehicle Lease,333.79
2021-06-07,Rent,826.70
2022-12-20,Office Supplies,1444.30
2019-09-01,Vehicle Lease,1390.13
2022-06-12,Fuel,1901.59
2020-06-23,Salaries & Benefits,815.98
2021-02-03,Fuel,1851.32
2022-06-20,Vehicle Lease,675.88
2021-02-12,Meals & Entertainment,989.51
2019-06-22,Utilities,146.78
2019-09-11,Meals & Entertainment,454.94
2020-10-27,Rent,1687.54
2020-06-05,Salaries & Benefits,257.42
2022-08-29,Office Supplies,1630.16
2020-04-18,Rent,1647.97
2019-06-27,Rent,246.05
2020-12-22,Utilities,926.19
2020-01-29,Meals & Entertainment,1423.91
2020-09-18,Office Supplies,289.29
2020-08-21,Salaries & Benefits,223.81
2019-09-21,Salaries & Benefits,873.38
2021-06-16,Office Supplies,948.77
2019-05-07,Office Supplies,1422.87
2019-01-30,Vehicle Lease,1879.50
2022-06-05,Fuel,265.16
2019-11-11,Rent,1956.11
2019-10-03,Utilities,314.88
2022-05-18,Vehicle Lease,480.29
2022-11-02,Rent,605.17
2020-08-31,Rent,662.30
2021-08-02,Salaries & Benefits,542.99
2020-02-25,Rent,1579.09
2020-04-09,Salaries & Benefits,938.66
2021-09-24,Utilities,1657.43
2022-12-07,Office Supplies,219.16
2022-12-15,Salaries & Benefits,1691.21
2019-11-13,Rent,287.36
2021-12-26,Salaries & Benefits,1661.18
2019-11-11,Utilities,1444.66
2022-04-19,Vehicle Lease,1782.53
2022-06-23,Utilities,1070.13
2021-03-10,Vehicle Lease,1753.15
2021-07-29,Utilities,1957.60
2022-03-18,Office Supplies,730.04
2021-08-23,Meals & Entertainment,982.98
2022-01-04,Fuel,1134.43
2022-02-18,Rent,814.16
2022-02-22,Rent,932.99
2019-05-23,Vehicle Lease,715.45
2022-11-03,Office Supplies,1259.58
2022-03-03,Meals & Entertainment,526.52
2021-10-10,Salaries & Benefits,482.43
2022-07-30,Meals & Entertainment,915.08
2020-06-16,Vehicle Lease,1724.23
2022-01-13,Fuel,1033.40
2021-08-21,Vehicle Lease,1897.86
2019-06-05,Utilities,323.98
2020-03-17,Vehicle Lease,1180.22
2021-11-11,Vehicle Lease,127.26
2019-07-23,Vehicle Lease,492.39
2020-03-02,Meals & Entertainment,951.89
2020-02-15,Utilities,426.70
2021-01-03,Rent,847.54
2022-06-18,Utilities,844.83
2020-11-13,Fuel,1295.79
2022-10-03,Utilities,1221.63
2021-11-04,Vehicle Lease,1743.21
2019-07-15,Utilities,584.97
2021-04-10,Utilities,957.75
2019-10-26,Meals & Entertainment,1728.27
2019-06-12,Utilities,252.79
2019-06-12,Utilities,565.07
2021-03-09,Office Supplies,1143.98
2022-09-12,Vehicle Lease,1132.21
2019-05-16,Rent,626.84
2019-09-26,Rent,709.60
2021-03-02,Utilities,380.14
2022-03-04,Vehicle Lease,903.81
2019-10-13,Salaries & Benefits,1841.93
2019-08-05,Fuel,768.84
2021-03-07,Utilities,630.97
2021-10-12,Vehicle Lease,709.98
2020-07-22,Vehicle Lease,1994.56
2022-08-13,Office Supplies,1702.28
2020-02-01,Office Supplies,913.82
2022-02-24,Vehicle Lease,1759.89
2021-06-07,Fuel,1737.53
2020-01-25,Fuel,615.40
2022-03-16,Meals & Entertainment,660.26
2019-10-04,Salaries & Benefits,117.05
2022-03-08,Vehicle Lease,1661.09
2022-02-27,Salaries & Benefits,1716.51
2019-07-16,Fuel,1692.04
2022-11-21,Meals & Entertainment,257.12
2019-11-28,Utilities,1642.23
2020-05-26,Meals & Entertainment,698.73
2019-01-09,Salaries & Benefits,1948.67
2020-12-30,Vehicle Lease,297.58
2022-12-22,Salaries & Benefits,916.02
2020-03-17,Vehicle Lease,230.65
2021-02-13,Meals & Entertainment,969.04
2022-05-19,Fuel,1475.45
2020-03-08,Fuel,421.60
2020-07-05,Office Supplies,380.35
2021-05-12,Meals & Entertainment,648.71
2021-12-14,Fuel,1823.05
2019-05-13,Salaries & Benefits,538.61
2019-08-30,Rent,601.44
2019-02-19,Meals & Entertainment,1060.26
2022-11-05,Vehicle Lease,822.39
2019-09-28,Salaries & Benefits,1550.36
2022-12-13,Utilities,785.82
2021-08-18,Meals & Entertainment,833.43
2020-08-16,Rent,1078.62
2019-10-08,Vehicle Lease,1587.28
2021-12-17,Office Supplies,343.15
2022-06-15,Fuel,555.13
2021-12-05,Salaries & Benefits,1533.04
2022-10-31,Meals & Entertainment,1383.23
2022-11-12,Vehicle Lease,1405.01
2021-06-18,Office Supplies,1154.44
2019-01-24,Meals & Entertainment,1517.56
2019-09-15,Utilities,860.17
2021-08-17,Rent,1545.15
2019-11-25,Rent,1352.14
2020-03-11,Fuel,835.40
2020-11-09,Utilities,482.34
2019-04-07,Rent,240.53
2020-12-09,Fuel,701.74
2020-07-22,Utilities,1102.94
2020-04-26,Salaries & Benefits,591.38
2020-04-05,Utilities,1458.09
2020-01-06,Office Supplies,1900.95
2021-08-12,Office Supplies,815.94
2020-07-27,Fuel,233.63
2020-04-16,Rent,1478.18
2019-01-18,Fuel,105.58
2020-07-14,Office Supplies,895.68
2019-09-30,Rent,628.35
2020-08-26,Vehicle Lease,101.16
2022-10-19,Office Supplies,283.79
2022-05-17,Utilities,116.59
2022-03-18,Rent,1019.35
2019-01-19,Meals & Entertainment,1900.06
2021-11-19,Fuel,356.54
2021-09-29,Fuel,604.65
2019-09-18,Salaries & Benefits,630.82
2019-03-07,Office Supplies,1123.91
2021-06-13,Office Supplies,297.71
2020-11-30,Office Supplies,508.22
2022-10-08,Vehicle Lease,1513.62
2020-10-17,Salaries & Benefits,876.52
2019-12-01,Meals & Entertainment,1877.58
2021-08-02,Salaries & Benefits,265.26
2021-05-01,Office Supplies,1213.44
2021-08-28,Vehicle Lease,1783.54
2019-10-28,Meals & Entertainment,1494.46
2021-09-05,Meals & Entertainment,359.23
2019-10-02,Office Supplies,1455.62
2022-08-08,Rent,115.03
2019-03-06,Utilities,1180.15
2022-08-05,Salaries & Benefits,595.04
2020-04-02,Rent,522.43
2020-12-03,Fuel,879.23
2019-02-07,Vehicle Lease,289.36
2022-09-16,Fuel,1066.00
2022-02-26,Utilities,1541.15
2021-02-21,Meals & Entertainment,1381.44
2020-02-22,Rent,686.60
2020-08-09,Office Supplies,1430.14
2019-03-20,Salaries & Benefits,883.26
2021-03-14,Fuel,101.22
2021-08-05,Office Supplies,691.74
2020-08-12,Meals & Entertainment,481.43
2021-12-14,Rent,1053.99
2022-11-03,Rent,246.83
2020-12-23,Meals & Entertainment,1871.01
2021-08-14,Salaries & Benefits,1493.03
2021-09-14,Rent,534.16
2022-10-18,Fuel,1619.52
2022-09-14,Office Supplies,723.53
2022-08-03,Fuel,1373.87
2021-05-17,Fuel,1267.61
2019-05-17,Office Supplies,308.94
2020-03-04,Rent,1586.54
2019-02-23,Meals & Entertainment,868.38
2019-09-24,Meals & Entertainment,504.44
2022-12-10,Utilities,755.72
2021-07-31,Vehicle Lease,940.81
2021-08-22,Meals & Entertainment,389.30
2022-08-15,Office Supplies,1077.79
2022-12-05,Vehicle Lease,1907.37
2020-12-09,Meals & Entertainment,307.24
2022-01-05,Meals & Entertainment,246.43
2019-03-23,Fuel,1841.55
2021-05-07,Vehicle Lease,629.79
2019-09-16,Meals & Entertainment,844.04
2021-11-30,Salaries & Benefits,1613.45
2022-03-12,Salaries & Benefits,1752.63
2022-12-31,Fuel,432.09
2020-10-30,Fuel,1718.97
2019-11-30,Rent,842.81
2019-04-13,Office Supplies,1537.60
2021-02-04,Salaries & Benefits,988.38
2020-07-04,Rent,1889.79
2021-01-21,Salaries & Benefits,882.11
2021-05-30,Office Supplies,1310.17
2022-04-06,Utilities,952.97
2022-06-15,Meals & Entertainment,1588.47
2020-12-05,Rent,1989.98
2019-07-26,Utilities,1861.94
2022-12-11,Rent,1566.64
2021-08-29,Rent,1688.16
2020-07-31,Utilities,1803.38
2021-09-16,Salaries & Benefits,972.06
2021-06-14,Meals & Entertainment,1765.19
2020-12-20,Salaries & Benefits,1352.75
2022-11-20,Salaries & Benefits,722.62
2019-11-15,Fuel,823.11
2020-08-05,Utilities,1799.00
2022-05-19,Rent,1681.67
2019-02-14,Vehicle Lease,320.57
2020-06-07,Office Supplies,1032.54
2019-05-05,Utilities,1712.00
2020-01-24,Utilities,1346.18
2022-05-11,Vehicle Lease,137.33
2020-10-03,Meals & Entertainment,1337.37
2020-04-02,Vehicle Lease,1101.18
2022-10-29,Utilities,1203.17
2020-05-19,Rent,1560.51
2022-08-16,Fuel,841.51
2020-07-24,Fuel,1048.04
2019-09-21,Utilities,1752.52
2022-05-23,Salaries & Benefits,565.63
2022-07-08,Meals & Entertainment,1044.74
2020-01-13,Utilities,1571.18
2020-08-26,Meals & Entertainment,1301.30
2019-01-05,Vehicle Lease,1251.27
2022-07-13,Utilities,1780.11
2021-11-22,Fuel,356.41
2021-10-02,Vehicle Lease,131.00
2021-07-03,Meals & Entertainment,769.54
2022-04-03,Office Supplies,1004.78
2021-08-17,Salaries & Benefits,1989.49
2019-08-10,Vehicle Lease,326.76
2022-07-28,Office Supplies,1786.93
2022-11-23,Fuel,909.13
2019-11-23,Salaries & Benefits,716.48
2020-10-29,Rent,1474.56
2021-08-05,Rent,511.53
2022-02-19,Meals & Entertainment,1440.70
2021-10-07,Office Supplies,1844.33
2022-05-21,Office Supplies,911.07
2022-02-04,Meals & Entertainment,820.98
2021-01-16,Office Supplies,1174.45
2019-09-11,Rent,1169.52
2019-07-07,Fuel,1833.17
2020-04-19,Meals & Entertainment,758.54
2019-10-24,Rent,1435.03
2020-12-21,Fuel,1111.22
2022-07-03,Office Supplies,776.62
2020-04-24,Salaries & Benefits,367.29
2021-10-08,Salaries & Benefits,412.57
2020-03-24,Fuel,1826.93
2020-10-30,Salaries & Benefits,1881.40
2019-06-28,Fuel,1313.90
2019-08-12,Salaries & Benefits,1294.94
2022-10-28,Office Supplies,1659.60
2021-10-13,Rent,533.90
2022-10-23,Office Supplies,1337.69
2022-10-06,Fuel,676.41
2022-07-12,Office Supplies,779.22
2020-06-28,Rent,180.85
2021-03-09,Utilities,1738.31
2021-09-29,Rent,259.34
2021-02-23,Fuel,1229.92
2019-06-13,Vehicle Lease,1858.65
2021-10-18,Vehicle Lease,660.88
2020-12-16,Meals & Entertainment,1019.12
2022-02-07,Rent,114.85
2019-12-01,Utilities,1537.51
2020-01-26,Salaries & Benefits,889.45
2022-07-11,Meals & Entertainment,325.74
2022-09-18,Vehicle Lease,1348.52
2022-10-05,Office Supplies,725.17
2022-02-08,Utilities,293.72
2019-11-12,Vehicle Lease,163.34
2019-03-23,Rent,850.62
2021-10-16,Fuel,684.67
2020-03-11,Salaries & Benefits,1917.08
2021-06-05,Office Supplies,433.39
2020-01-20,Vehicle Lease,326.32
2021-05-22,Utilities,1657.78
2020-02-10,Rent,214.29
2022-02-28,Utilities,1984.08
2021-02-10,Office Supplies,1003.51
2022-02-08,Office Supplies,1786.00
2021-07-13,Salaries & Benefits,1326.43
2021-06-14,Office Supplies,1240.69
2019-03-13,Rent,372.78
2022-12-20,Office Supplies,885.83
2021-09-05,Meals & Entertainment,1672.48
2022-01-21,Meals & Entertainment,110.83
2022-06-23,Meals & Entertainment,1332.11
2022-10-13,Salaries & Benefits,117.50
2019-12-05,Rent,1406.20
2019-01-30,Utilities,1160.93
2020-02-25,Fuel,1462.18
2021-03-27,Meals & Entertainment,956.37
2022-01-17,Fuel,1448.68
2021-09-26,Utilities,818.39
2021-06-30,Fuel,1438.59
2022-12-29,Meals & Entertainment,1869.37
2019-08-13,Vehicle Lease,778.32
2020-04-25,Rent,1991.05
2022-12-29,Salaries & Benefits,1100.03
2019-03-08,Fuel,1426.06
2021-11-21,Fuel,1051.13
2020-02-02,Meals & Entertainment,503.45
2019-01-31,Utilities,650.41
2021-06-27,Fuel,1944.50
2020-11-09,Salaries & Benefits,1294.81
2021-09-22,Meals & Entertainment,563.29
2021-07-22,Vehicle Lease,1840.17
2022-12-29,Meals & Entertainment,1201.07
2022-08-25,Fuel,590.95
2021-08-10,Rent,1091.51
2021-02-17,Fuel,762.64
2019-07-20,Fuel,1939.86
2022-07-06,Rent,314.24
2021-12-16,Vehicle Lease,258.41
2022-01-16,Salaries & Benefits,1545.14
2022-01-27,Salaries & Benefits,754.22
2019-12-14,Rent,685.55
2019-02-15,Rent,763.40
2020-03-03,Office Supplies,893.73
2020-11-09,Meals & Entertainment,608.22
2022-06-08,Salaries & Benefits,1302.04
2021-08-04,Salaries & Benefits,616.19
2019-02-18,Utilities,1882.35
2019-06-17,Utilities,167.01
2022-11-09,Rent,1636.49
2022-10-01,Utilities,555.74
2021-09-24,Fuel,1196.46
2022-10-24,Utilities,238.17
2019-11-19,Fuel,134.83
2021-01-29,Fuel,1269.81
2019-02-09,Salaries & Benefits,1474.32
2021-08-24,Salaries & Benefits,1052.33
2020-06-19,Meals & Entertainment,857.91
2020-09-08,Utilities,1816.05
2020-04-26,Meals & Entertainment,243.08
2022-09-05,Vehicle Lease,828.37
2022-07-26,Salaries & Benefits,769.51
2022-03-30,Vehicle Lease,721.89
2021-02-05,Meals & Entertainment,705.65
2020-01-03,Salaries & Benefits,1863.67
2020-03-04,Utilities,1004.04
2020-05-24,Salaries & Benefits,1343.04
2019-06-29,Meals & Entertainment,1427.49
2022-05-01,Meals & Entertainment,1668.04
2021-02-15,Utilities,1376.64
2021-12-21,Fuel,1785.37
2020-01-29,Fuel,976.54
2021-10-26,Vehicle Lease,283.08
2022-06-27,Office Supplies,1836.23
2022-10-03,Vehicle Lease,764.67
2022-10-19,Rent,534.72
2022-02-15,Meals & Entertainment,1520.78
2021-09-27,Utilities,1524.91
2021-12-11,Vehicle Lease,1666.95
2019-11-26,Rent,1853.69
2020-04-19,Meals & Entertainment,258.99
2021-04-19,Fuel,179.70
2019-06-21,Utilities,283.99
2021-11-07,Salaries & Benefits,152.22
2019-05-22,Rent,1257.39
2019-01-21,Fuel,407.25
2022-03-10,Rent,371.63
2022-03-10,Vehicle Lease,1411.30
2022-08-27,Office Supplies,1017.10
2021-09-14,Salaries & Benefits,886.36
2021-05-29,Fuel,574.58
2019-03-17,Salaries & Benefits,1781.78
2021-07-06,Office Supplies,248.30
2022-08-06,Vehicle Lease,1715.67
2021-09-24,Office Supplies,1722.64
2022-09-25,Fuel,385.63
2019-04-22,Utilities,954.33
2021-03-26,Fuel,627.76
2022-06-24,Salaries & Benefits,811.71
2020-01-12,Rent,1769.23
2022-03-15,Utilities,1976.07
2020-06-15,Fuel,1868.63
2020-01-09,Vehicle Lease,789.18
2019-03-06,Utilities,547.48
2019-07-01,Fuel,1880.48
2020-09-08,Office Supplies,1821.48
2022-08-03,Rent,1035.73
2022-10-14,Fuel,1688.89
2020-06-08,Meals & Entertainment,1265.00
2019-09-27,Utilities,320.61
2021-03-27,Rent,320.94
2021-08-31,Utilities,780.93
2021-12-12,Meals & Entertainment,301.46
2021-03-20,Fuel,1365.39
2021-11-25,Utilities,1385.71
2019-12-05,Fuel,386.81
2021-06-29,Office Supplies,1952.51
2019-07-05,Meals & Entertainment,1883.02
2022-01-27,Utilities,1656.05
2020-01-30,Utilities,1471.89
2019-02-07,Rent,306.92
2022-05-07,Vehicle Lease,883.87
2019-12-09,Rent,1127.97
2021-11-05,Vehicle Lease,1388.57
2021-01-12,Rent,1701.57
2019-04-04,Office Supplies,342.25
2019-02-23,Utilities,1013.18
2020-01-27,Meals & Entertainment,566.44
2020-01-20,Meals & Entertainment,845.12
2020-10-27,Fuel,1362.44
2020-01-25,Rent,1610.00
2019-10-12,Office Supplies,503.70
2021-04-24,Office Supplies,1820.68
2021-08-24,Fuel,886.88
2022-07-19,Utilities,291.96
2022-01-25,Utilities,1150.86
2022-05-16,Office Supplies,1832.27
2022-03-14,Utilities,1823.58
2019-02-11,Salaries & Benefits,1494.80
2022-02-28,Office Supplies,1993.25
2022-04-10,Vehicle Lease,1694.41
2022-08-29,Utilities,1118.16
2020-01-05,Office Supplies,889.77
2020-02-20,Office Supplies,1619.23
2022-06-08,Rent,1008.82
2020-07-16,Vehicle Lease,1831.99
2022-06-30,Utilities,903.44
2022-05-29,Vehicle Lease,1047.99
2020-11-22,Fuel,330.08
2021-04-14,Meals & Entertainment,679.14
2020-08-21,Office Supplies,1991.52
2020-07-28,Salaries & Benefits,681.35
2022-12-01,Vehicle Lease,1671.94
2022-02-09,Vehicle Lease,800.27
2020-10-29,Office Supplies,1225.84
2021-03-20,Salaries & Benefits,1740.34
2020-03-14,Salaries & Benefits,988.12
2020-07-29,Fuel,1214.42
2019-07-23,Office Supplies,983.09
2021-01-05,Vehicle Lease,700.08
2022-01-17,Vehicle Lease,1157.02
2021-04-29,Meals & Entertainment,674.68
2020-01-23,Utilities,840.83
2019-12-07,Rent,1597.98
2020-07-31,Salaries & Benefits,1130.55
2019-04-02,Office Supplies,1573.65
2019-01-12,Utilities,487.52
2021-04-15,Rent,1055.57
2022-12-08,Meals & Entertainment,297.08
2019-09-05,Fuel,393.09
2020-09-01,Vehicle Lease,159.90
2021-03-19,Fuel,445.52
2019-08-18,Fuel,1623.37
2022-12-14,Rent,950.72
2019-01-19,Fuel,1697.77
2020-02-13,Salaries & Benefits,615.51
2021-10-10,Fuel,1059.45
